stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
3270,松竹,Songzhu,松竹,Songzhu,臺中市北屯區舊社里松竹路一段1473巷100號,"No. 100, Ln. 1473, Sec. 1, Songzhu Rd., Taiwan (R.O.C.), Beitun Dist., Taichung City",04-22473033,24.18035 120.70193,Y
3280,太原,Taiyuan,太原,Taiyuan,臺中市北屯區北興里東光路 665 號,"No. 665, Dongguang Rd., Beitun Dist., Taichung City",04-22313926,24.16449 120.69988,Y
3290,精武,Jingwu,精武,Jingwu,臺中市東區東南里東光路 161號,"No. 161, Dongguang Rd., Taiwan (R.O.C.)No. 194, Dongguang Rd., East Dist., Taichung City",04-23606501,24.14887 120.69784,Y
3300,臺中,Taichung,臺中,Taichung,臺中市中區綠川里臺灣大道一段 1 號,"No. 1, Sec. 1, Taiwan Blvd., Central Dist., Taichung City",04-22227236,24.13765 120.68505,Y
3310,五權,Wuquan,五權,Wuquan,臺中市南區建國南路二段201號,"No. 201, Sec. 2, Jianguo S. Rd., Taiwan (R.O.C.), South Dist., Taichung City",04-22601636,24.12877 120.66654,Y
3320,大慶,Daqing,大慶,Daqing,臺中市南區樹德里7鄰大慶街2段130號,"No. 130, Sec. 2, Daqing St., Taiwan (R.O.C.), South Dist., Taichung City",04-22637940,24.11911 120.64795,Y
3330,烏日,Wuri,烏日,Wuri,臺中市烏日區烏日里三民街 258 號,"No. 258, Sanmin St., Wuri Dist., Taichung City",04-23381071,24.10867 120.62244,N
3340,新烏日,Xinwuri,新烏日,Xinwuri,臺中市烏日區三和里高鐵東一路 26 號,"No. 26, Gaotie E. 1st Rd., Wuri Dist., Taichung City",04-23376883,24.10937 120.61421,Y
3350,成功,Chenggong,成功,Chenggong,臺中市烏日區榮泉里中山路三段 550 號,"No. 550, Sec. 3, Zhongshan Rd., Wuri Dist., Taichung City",04-23371986,24.11424 120.59021,Y
3360,彰化,Changhua,彰化,Changhua,彰化縣彰化市長樂里三民路 1 號,"No. 1, Sanmin Rd., Zhanghua City, Changhua County",04-7274218#11,24.08177 120.53854,Y
3370,花壇,Huatan,花壇,Huatan,彰化縣花壇鄉花壇村中正路 370 號,"No. 370, Zhongzheng Rd., Huatan Township, Changhua County",04-7881418,24.02502 120.53742,Y
3380,大村,Dacun,大村,Dacun,彰化縣大村鄉過溝村福進路 100 號,"No. 100, Fujin Rd., Dacun Township, Changhua County",04-8525148,23.99003 120.56068,N
3390,員林,Yuanlin,員林,Yuanlin,彰化縣員林市和平里民權街 55 號,"No. 55, Minquan St., Yuanlin City, Changhua County",04-8320544#15,23.95933 120.56995,Y
3400,永靖,Yongjing,永靖,Yongjing,彰化縣永靖鄉崙子村崙饒路25 號,"No. 25, Yonglun Rd., Yongjing Township, Changhua County",04-8320544#15,23.92817 120.57167,N
3410,社頭,Shetou,社頭,Shetou,彰化縣社頭鄉廣興村社站路 10 號,"No. 10, Shezhan Rd., Shetou Township, Changhua County",04-8711646,23.89573 120.58077,Y
3420,田中,Tianzhong,田中,Tianzhong,彰化縣田中鎮中路里中州路一段 1 號,"No. 1, Sec. 1, Zhongzhou Rd., Tianzhong Township, Changhua County",04-8742142,23.85826 120.59123,Y
3430,二水,Ershui,二水,Ershui,彰化縣二水鄉光化村光文路 1 號,"No. 1, Guangwen Rd., Ershui Township, Changhua County",04-8792027,23.81321 120.61805,Y
3431,源泉,Yuanquan,源泉,Yuanquan,彰化縣二水鄉合興村英義路 (無站房),"Yingyi Rd. (No Station Building), Ershui Township, Changhua County",04-8792027,23.79845 120.64211,N
3432,濁水,Zhuoshui,濁水,Zhuoshui,南投縣名間鄉濁水村車站路 15 號,"No. 15, Chezhan Rd., Mingjian Township, Nantou County",049-2735850,23.83467 120.70467,N
3433,龍泉,Longquan,龍泉,Longquan,南投縣集集鎮隘寮村龍泉巷 (無站房),"Longquan Ln. (No Station Building), Jiji Township, Nantou County",04-8792027,23.92434 120.73805,N
3434,集集,Jiji,集集,Jiji,南投縣集集鎮吳厝里民生路 75 號,"No. 75, Minsheng Rd., Jiji Township, Nantou County",049-2762546,23.82666 120.78485,N
3435,水里,Shuili,水里,Shuili,南投縣水里鄉水里村民生路 440 號,"No. 440, Minsheng Rd., Shuili Township, Nantou County",049-2770015,23.81845 120.85332,N
3436,車埕,Checheng,車埕,Checheng,南投縣水里鄉車埕村民權巷 2 號,"No. 2, Minquan Ln., Shuili Township, Nantou County",049-2774749,23.83263 120.86572,N
3450,林內,Linnei,林內,Linnei,雲林縣林內鄉林中村中山路 42 號,"No. 42, Zhongshan Rd., Linnei Township, Yunlin County",05-5892040,23.75967 120.61499,Y
3460,石榴,Shiliu,石榴,Shiliu,雲林縣斗六市榴北里文明路 31 號,"No. 31, Wenming Rd., Douliu City, Yunlin County",05-5332900,23.73167 120.57998,N
3470,斗六,Douliu,斗六,Douliu,雲林縣斗六市信義里民生路 187 號,"No. 187, Minsheng Rd., Douliu City, Yunlin County",05-5332900,23.71157 120.54117,Y
3480,斗南,Dounan,斗南,Dounan,雲林縣斗南鎮南昌里中山路 2 號,"No. 2, Zhongshan Rd., Dounan Township, Yunlin County",05-5972039,23.67265 120.48056,Y
3490,石龜,Shigui,石龜,Shigui,雲林縣斗南鎮石龜里,"Shigui Vil., Dounan Township, Yunlin County",05-5972039,23.63951 120.47106,N
4050,大林,Dalin,大林,Dalin,嘉義縣大林鎮吉林里中山路 2 號,"No. 2, Zhongshan Rd., Dalin Township, Chiayi County",05-2654804,23.60112 120.45585,Y
4060,民雄,Minxiong,民雄,Minxiong,嘉義縣民雄鄉東榮村和平路 2 號,"No. 2, Heping Rd., Minxiong Township, Chiayi County",05-2264272,23.55519 120.43139,Y
4070,嘉北,Jiabei,嘉北,Jiabei,嘉義市 東區後湖里保建街 110 號,"No. 110, Baojian St.,  , Chiayi City",05-2334584,23.49981 120.44851,N
4080,嘉義,Chiayi,嘉義,Chiayi,嘉義市 西區番社里中山路 528 號,"No. 528, Zhongshan Rd.,  , Chiayi City",05-2228904,23.47902 120.44124,Y
4090,水上,Shuishang,水上,Shuishang,嘉義縣水上鄉粗溪村68號,"No. 68, Couxi Village, Shuishang Township, Chiayi County",05-2228904,23.43398 120.39971,N
4100,南靖,Nanjing,南靖,Nanjing,嘉義縣水上鄉三鎮村三鎮路 26 號,"No. 26, Sanzhen Rd., Shuishang Township, Chiayi County",05-2601232,23.41344 120.38654,N
4110,後壁,Houbi,後壁,Houbi,臺南市後壁區後壁里後壁 77 號,"No. 77, Houbi, Houbi Dist., Tainan City",06-6872055,23.36626 120.36058,N
4120,新營,Xinying,新營,Xinying,臺南市新營區中營里中山路 1 號,"No. 1, Zhongshan Rd., Xinying Dist., Tainan City",06-6322104,23.30673 120.32307,Y
4130,柳營,Liuying,柳營,Liuying,臺南市柳營區東昇里建國路 1 號,"No. 1, Jianguo Rd., Liuying Dist., Tainan City",06-6226450,23.27762 120.32252,N
4140,林鳳營,Linfengying,林鳳營,Linfengying,臺南市六甲區中社里林鳳營 16 號,"No. 16, Linfengying, Liujia Dist., Tainan City",06-6986086,23.24259 120.32107,N
